,file_path,rmse,rmse_div_num_test_samples,predictions,r_squared
0,all-distilroberta-v1_empty.csv,2587932.7284722724,25371.8894948262,"[27615.20181017 28588.19179818 28837.08116418 27838.13901096
 28229.06440452 28618.52099446 28066.66261649 28233.59099365
 28027.74642616 28382.3571912  27138.19351206 29238.90899823
 28549.29355514 28323.24948284 28079.70884591 25990.74635213
 28496.5497627  28513.57151235 25647.61284105 28043.06454316
 29374.15333843 27816.36283943 29154.09799422 27002.13891799
 28146.54374302 28531.48768885 29900.36821612 29345.69300896
 29447.04926814 28979.45025968 29439.82138026 29191.22642599
 28188.94183602 28626.04663533 27983.42149248 27438.46235461
 28551.01576088 28957.59679717 26615.97989726 27721.73705368
 29856.69680141 29484.55142752 27990.18841204 28583.98406704
 27669.58140997 28794.23554368 27930.76694881 28721.20561127
 28853.22827313 28270.64126049 29245.16502685 29293.19933832
 30620.51706125 28002.00807401 28987.0179417  27089.69890513
 27127.08699111 27489.5247051  28500.78713076 26514.06668961
 27201.27550725 27400.42830093 27296.22590537 28762.62782489
 27422.09731009 27740.5713598  27230.71819511 27207.21018054
 26043.22211355 27687.0061159  27021.42449629 28696.46824844
 29470.23784052 29048.94581262 26902.41229131 27008.19413889
 26569.63861524 25396.92214305 24096.51964601 24528.08479356
 27086.06905535 22733.10209633 24687.342402   26254.89982478
 27287.39819921 25777.21352879 21687.76953309 26158.01549587
 24507.03746928 23062.26577606 22243.408555   22469.28582765
 23505.26176026 24693.50770132 24216.60600639 23848.0188091
 22067.71726613 22015.24663141 21339.17954012 22712.53536867
 22486.96426865 22871.17170188]",0.6473967000028633
1,all-distilroberta-v1_empty_normalized.csv,2587932.7284722677,25371.889494826155,"[27615.20181017 28588.19179818 28837.08116418 27838.13901096
 28229.06440452 28618.52099446 28066.66261649 28233.59099365
 28027.74642616 28382.3571912  27138.19351206 29238.90899823
 28549.29355514 28323.24948284 28079.70884591 25990.74635213
 28496.5497627  28513.57151235 25647.61284105 28043.06454316
 29374.15333843 27816.36283943 29154.09799422 27002.13891799
 28146.54374302 28531.48768885 29900.36821612 29345.69300896
 29447.04926814 28979.45025968 29439.82138026 29191.22642599
 28188.94183602 28626.04663533 27983.42149248 27438.46235461
 28551.01576088 28957.59679717 26615.97989726 27721.73705368
 29856.69680141 29484.55142752 27990.18841204 28583.98406704
 27669.58140997 28794.23554368 27930.76694881 28721.20561127
 28853.22827313 28270.64126049 29245.16502685 29293.19933832
 30620.51706125 28002.00807401 28987.0179417  27089.69890513
 27127.08699111 27489.5247051  28500.78713076 26514.06668961
 27201.27550725 27400.42830093 27296.22590537 28762.62782489
 27422.09731009 27740.5713598  27230.71819511 27207.21018054
 26043.22211355 27687.0061159  27021.42449629 28696.46824844
 29470.23784052 29048.94581262 26902.41229131 27008.19413889
 26569.63861524 25396.92214305 24096.51964601 24528.08479356
 27086.06905535 22733.10209633 24687.342402   26254.89982478
 27287.39819921 25777.21352879 21687.76953309 26158.01549587
 24507.03746928 23062.26577606 22243.408555   22469.28582765
 23505.26176026 24693.50770132 24216.60600639 23848.0188091
 22067.71726613 22015.24663141 21339.17954012 22712.53536867
 22486.96426865 22871.17170188]",0.647396700002864
2,all-distilroberta-v1_umap.csv,1558379.1450366115,15278.226912123642,"[28363.23032498 27970.17351735 28649.44451771 28600.49141736
 27837.23801919 27605.31746432 27902.62314891 28633.3166643
 27741.26190125 28511.01940209 26167.20851025 28183.66858989
 28186.50411387 28524.83886663 27972.08152782 27108.30747723
 28290.68666559 28950.99312487 27603.49515865 28599.97031875
 28329.72401621 27269.51083057 28423.83416272 28756.54452578
 28157.34003543 28857.74794567 29116.7470501  28501.05999218
 29738.36316604 28321.84154153 29834.08670151 28920.23036716
 27929.35495704 28108.86814318 28161.89533357 27598.83815351
 27882.74706732 28601.52102733 27607.32451306 28630.75690242
 27858.74640428 28515.79399446 28659.6621069  28652.03078083
 27316.64233767 28848.95989833 29068.2652673  27863.56682129
 29327.39461095 28514.88719787 29651.23840903 30484.72975488
 28369.63986203 28942.96608168 28497.24528551 28654.35792903
 27991.35192966 28674.61691261 27969.69589559 27405.62725053
 27617.15963827 28369.60224001 27913.0074413  29044.42898217
 27500.34886875 27110.50117616 27247.58378029 28214.27571656
 28228.419984   28203.54975309 28127.0189396  28846.68285342
 29590.15580386 28277.43385277 25362.48814375 27429.69502033
 27908.32786825 28434.3380998  25112.53642911 26710.21390578
 27249.77868648 25092.69829642 26049.87497706 25519.49624068
 25712.51721965 26963.13377496 23494.29116563 23155.03528555
 23279.37238346 21936.6231019  23819.13178888 20972.0140101
 22046.72637817 22224.67097682 23055.88990285 22883.67546514
 22232.11449471 20662.75223524 20592.26228704 20380.95236769
 21241.85857398 21103.18599653]",0.7876723675460434
3,all-distilroberta-v1_umap_normalized.csv,1558379.1450366126,15278.226912123653,"[28363.23032498 27970.17351735 28649.44451771 28600.49141736
 27837.23801919 27605.31746432 27902.62314891 28633.3166643
 27741.26190125 28511.01940209 26167.20851025 28183.66858989
 28186.50411387 28524.83886663 27972.08152782 27108.30747723
 28290.68666559 28950.99312487 27603.49515865 28599.97031875
 28329.72401621 27269.51083057 28423.83416272 28756.54452578
 28157.34003543 28857.74794567 29116.7470501  28501.05999218
 29738.36316604 28321.84154153 29834.08670151 28920.23036716
 27929.35495704 28108.86814318 28161.89533357 27598.83815351
 27882.74706732 28601.52102733 27607.32451306 28630.75690242
 27858.74640428 28515.79399446 28659.6621069  28652.03078083
 27316.64233767 28848.95989833 29068.2652673  27863.56682129
 29327.39461095 28514.88719787 29651.23840903 30484.72975488
 28369.63986203 28942.96608168 28497.24528551 28654.35792903
 27991.35192966 28674.61691261 27969.69589559 27405.62725053
 27617.15963827 28369.60224001 27913.0074413  29044.42898217
 27500.34886875 27110.50117616 27247.58378029 28214.27571656
 28228.419984   28203.54975309 28127.0189396  28846.68285342
 29590.15580386 28277.43385277 25362.48814375 27429.69502033
 27908.32786825 28434.3380998  25112.53642911 26710.21390578
 27249.77868648 25092.69829642 26049.87497706 25519.49624068
 25712.51721965 26963.13377496 23494.29116563 23155.03528555
 23279.37238346 21936.6231019  23819.13178888 20972.0140101
 22046.72637817 22224.67097682 23055.88990285 22883.67546514
 22232.11449471 20662.75223524 20592.26228704 20380.95236769
 21241.85857398 21103.18599653]",0.7876723675460432
4,all-MiniLM-L12-v2_empty.csv,3139850.093568536,30782.84405459349,"[29383.11814169 30171.75864237 28128.69505816 29797.25976284
 29426.1454285  28370.60550964 28053.29284848 27323.97590787
 27458.8016897  28470.01732787 28511.14260828 29173.13298628
 27686.47503615 27064.07391441 26838.45123098 28234.31965522
 27909.80854066 28101.15888749 28151.1794635  29667.26240309
 29257.0367466  27351.99252184 29566.31791998 28243.37786804
 29099.20568503 27855.1596407  27600.28387417 27358.78423586
 29284.89924547 28716.1417176  30628.48556491 27817.97606005
 28801.88784954 30332.87935624 28624.96747128 27808.40450278
 31291.6302518  28721.60405858 28862.73159006 27812.86949697
 28224.79959831 27302.53753132 29362.55062718 28225.4344503
 28103.505189   29102.34097911 27852.86132356 29042.10085471
 27491.49926007 27377.30847523 27583.4605315  27803.93345341
 28859.1167644  28694.31792452 28394.3939108  27209.83774322
 28374.52044258 27880.12778284 27352.93991227 27140.8177976
 27245.04315025 28203.08861186 27084.21455887 27419.60685047
 26875.79116283 27683.71714613 28263.46174047 27431.73956144
 27357.34075712 26588.01902766 26718.84286613 26762.89056498
 27167.74410806 27625.65420931 24477.08004672 27979.07016766
 25020.76715595 24779.47190739 25754.44563024 25590.63821055
 25782.97706119 25312.78695427 24434.45662361 24972.36324264
 23748.44431441 24129.21854462 21501.97896916 24400.61442142
 24239.84376844 25084.15101173 24957.66294589 23513.40122665
 23347.69996395 22747.08061913 23826.65201661 24026.16179023
 23012.05059991 22148.47461798 22677.42762221 23466.24406602
 24454.44377763 24184.97315557]",0.5721984994787139
5,all-MiniLM-L12-v2_empty_normalized.csv,3139850.0935685514,30782.84405459364,"[29383.11814169 30171.75864237 28128.69505816 29797.25976284
 29426.1454285  28370.60550964 28053.29284848 27323.97590787
 27458.8016897  28470.01732787 28511.14260828 29173.13298628
 27686.47503615 27064.07391441 26838.45123098 28234.31965522
 27909.80854066 28101.15888749 28151.1794635  29667.26240309
 29257.0367466  27351.99252184 29566.31791998 28243.37786804
 29099.20568503 27855.1596407  27600.28387417 27358.78423586
 29284.89924547 28716.1417176  30628.48556491 27817.97606005
 28801.88784954 30332.87935624 28624.96747128 27808.40450278
 31291.6302518  28721.60405858 28862.73159006 27812.86949697
 28224.79959831 27302.53753132 29362.55062718 28225.4344503
 28103.505189   29102.34097911 27852.86132356 29042.10085471
 27491.49926007 27377.30847523 27583.4605315  27803.93345341
 28859.1167644  28694.31792452 28394.3939108  27209.83774322
 28374.52044258 27880.12778284 27352.93991227 27140.8177976
 27245.04315025 28203.08861186 27084.21455887 27419.60685047
 26875.79116284 27683.71714613 28263.46174047 27431.73956144
 27357.34075712 26588.01902766 26718.84286613 26762.89056498
 27167.74410806 27625.65420932 24477.08004672 27979.07016766
 25020.76715596 24779.47190739 25754.44563024 25590.63821055
 25782.97706119 25312.78695427 24434.45662361 24972.36324264
 23748.44431441 24129.21854462 21501.97896916 24400.61442142
 24239.84376844 25084.15101173 24957.66294589 23513.40122665
 23347.69996395 22747.08061913 23826.65201661 24026.16179023
 23012.05059991 22148.47461798 22677.42762221 23466.24406602
 24454.44377763 24184.97315557]",0.5721984994787118
6,all-MiniLM-L12-v2_umap.csv,1919021.137667475,18813.932722230147,"[28570.07924824 28154.44213562 28052.14762326 28154.12415243
 28074.39008835 26569.06650645 28323.96815754 27822.16119419
 26724.07468418 27556.88343129 26573.95028397 28124.4131015
 28297.24674467 27228.90085444 27767.06670423 27872.926053
 28824.95799165 28951.95266198 27075.89856025 29468.10865818
 27672.95201505 26392.87388169 27859.21271125 28306.18942764
 27493.83699103 29247.11886008 28781.49110177 28272.15741674
 31081.45059904 28667.63725423 30819.90500339 28455.65393954
 28426.92540904 28530.38674606 28803.18045956 27526.9495022
 28165.99112284 29703.82558724 28055.25961273 29106.04951667
 28073.63194938 28695.4145421  28933.5504493  27726.96807803
 26417.894163   27828.16318547 28397.74743129 27411.2807257
 28382.12716767 27411.35097878 29840.64425035 28115.94959528
 28944.38008489 28329.61621945 27119.93736633 28037.94043456
 28239.46412117 28747.35122767 27767.5275994  26817.69693953
 27919.977274   30895.29993887 28831.09150597 28909.97836253
 27034.41844426 28673.74935425 27875.1170598  28553.59766869
 29021.58506354 27790.41834202 29503.65151177 28567.2409636
 27697.74356242 28651.44898649 25476.21148014 27610.71472894
 28208.52265052 27991.37986772 25764.67624377 25976.47618256
 27536.54157902 25654.01635292 26290.92654518 26106.69511789
 24710.50266347 24954.89480348 22893.00333938 23517.90008447
 22844.08198339 23480.56551123 23769.82281139 21859.54243082
 23223.84919988 22691.62119816 23003.03888097 23422.88529237
 23911.61809583 19977.49473984 21753.7060001  21044.32636323
 21976.07491192 19962.60040068]",0.738535249212116
7,all-MiniLM-L12-v2_umap_normalized.csv,1919021.1376674746,18813.932722230144,"[28570.07924824 28154.44213562 28052.14762326 28154.12415243
 28074.39008835 26569.06650645 28323.96815754 27822.16119419
 26724.07468418 27556.88343129 26573.95028397 28124.4131015
 28297.24674467 27228.90085444 27767.06670423 27872.926053
 28824.95799165 28951.95266198 27075.89856025 29468.10865818
 27672.95201505 26392.87388169 27859.21271125 28306.18942764
 27493.83699103 29247.11886008 28781.49110177 28272.15741674
 31081.45059904 28667.63725423 30819.90500339 28455.65393954
 28426.92540904 28530.38674606 28803.18045956 27526.9495022
 28165.99112284 29703.82558724 28055.25961273 29106.04951667
 28073.63194938 28695.4145421  28933.5504493  27726.96807803
 26417.894163   27828.16318547 28397.74743129 27411.2807257
 28382.12716767 27411.35097878 29840.64425035 28115.94959528
 28944.38008489 28329.61621945 27119.93736633 28037.94043456
 28239.46412117 28747.35122767 27767.5275994  26817.69693953
 27919.977274   30895.29993887 28831.09150597 28909.97836253
 27034.41844426 28673.74935425 27875.1170598  28553.59766869
 29021.58506354 27790.41834202 29503.65151177 28567.2409636
 27697.74356242 28651.44898649 25476.21148014 27610.71472894
 28208.52265052 27991.37986772 25764.67624377 25976.47618256
 27536.54157902 25654.01635292 26290.92654518 26106.69511789
 24710.50266347 24954.89480348 22893.00333938 23517.90008447
 22844.08198339 23480.56551123 23769.82281139 21859.54243082
 23223.84919988 22691.62119816 23003.03888097 23422.88529237
 23911.61809583 19977.49473984 21753.7060001  21044.32636323
 21976.07491192 19962.60040068]",0.7385352492121161
8,all-mpnet-base-v2_empty.csv,2455980.58681849,24078.2410472401,"[28097.5830119  28776.96392308 29406.02362752 27292.31633433
 28934.7661154  27848.95668323 28006.28286038 27317.9421856
 28252.05875339 27712.35886265 26792.04126356 28338.77819002
 28176.00373108 28423.40446772 27816.53084058 26926.18125252
 29375.5650831  29188.14292584 25848.07636568 29064.8788833
 28859.89191879 27543.86702783 28684.10198293 28558.48113709
 28908.59356067 28838.17960035 29725.36066591 28523.23581531
 30029.35490788 28616.93719979 29838.35432958 28164.28889822
 27702.56882506 29208.15281878 27421.91354177 28132.35357364
 28549.25465396 28573.63098799 26942.08793702 27915.67199614
 28601.16448676 27905.67123754 28588.961161   27804.25656337
 27224.89488216 28753.44655209 28180.51349375 28389.62831787
 28049.13649159 28465.18708095 29799.26099264 28459.72559702
 30155.17011538 28393.72677186 30195.23459511 27432.4272601
 26302.71885576 27584.31900468 27854.9354834  26529.28837592
 27361.51742335 30813.87980348 27604.61914627 28754.21643319
 26826.08419575 29660.33257962 29442.64924903 27401.66141299
 27539.61257598 27705.56103057 28606.98797278 26417.44208092
 29088.67145567 28242.9184759  23830.69386141 26676.49602061
 25205.22501212 25246.1616691  24666.79075885 24983.70417828
 26103.3767547  23882.90631733 25175.504745   27432.82850431
 26467.85640517 24462.43198458 21843.184472   26451.09754818
 23249.2201166  23918.74827588 23084.5517968  22251.7218901
 22554.66704433 22538.22958321 23502.01929512 23172.04962196
 23699.81268489 22191.56328514 21377.43475705 23450.9686697
 22664.03571403 23783.21113948]",0.6653750500878284
9,all-mpnet-base-v2_empty_normalized.csv,2455980.5868185004,24078.2410472402,"[28097.5830119  28776.96392308 29406.02362752 27292.31633433
 28934.7661154  27848.95668323 28006.28286038 27317.9421856
 28252.05875339 27712.35886265 26792.04126356 28338.77819002
 28176.00373108 28423.40446772 27816.53084058 26926.18125252
 29375.5650831  29188.14292584 25848.07636568 29064.8788833
 28859.89191879 27543.86702783 28684.10198293 28558.48113709
 28908.59356067 28838.17960035 29725.36066591 28523.23581531
 30029.35490788 28616.93719979 29838.35432958 28164.28889822
 27702.56882506 29208.15281878 27421.91354177 28132.35357364
 28549.25465396 28573.63098799 26942.08793702 27915.67199614
 28601.16448676 27905.67123754 28588.961161   27804.25656337
 27224.89488216 28753.44655209 28180.51349375 28389.62831787
 28049.13649159 28465.18708095 29799.26099264 28459.72559702
 30155.17011538 28393.72677186 30195.23459511 27432.4272601
 26302.71885576 27584.31900468 27854.9354834  26529.28837592
 27361.51742335 30813.87980347 27604.61914627 28754.21643319
 26826.08419575 29660.33257962 29442.64924903 27401.66141299
 27539.61257598 27705.56103057 28606.98797278 26417.44208092
 29088.67145567 28242.9184759  23830.69386141 26676.49602061
 25205.22501211 25246.1616691  24666.79075885 24983.70417828
 26103.3767547  23882.90631733 25175.504745   27432.82850431
 26467.85640517 24462.43198458 21843.184472   26451.09754818
 23249.2201166  23918.74827588 23084.5517968  22251.7218901
 22554.66704433 22538.22958321 23502.01929512 23172.04962196
 23699.81268489 22191.56328514 21377.43475705 23450.9686697
 22664.03571403 23783.21113948]",0.665375050087827
10,all-mpnet-base-v2_umap.csv,1540246.5222691942,15100.456100678375,"[28474.62164624 28779.09433418 28770.07271643 28795.4955249
 28416.61786781 27215.16261287 28091.91247676 28363.07113467
 27175.02105397 28291.68344806 26985.16541577 28889.45509944
 28440.32794914 28611.4548148  28419.97839732 27238.35888916
 27632.17423365 28511.35043881 27345.11694182 28801.54432335
 28882.9022112  26541.15812581 28070.65989635 27974.51589538
 27983.42360759 27758.18724951 28720.4704223  28395.34975979
 29226.00760068 27604.48578073 29491.89704306 28569.16589462
 29912.2451957  27175.65355856 27393.30564296 28199.56789426
 28142.61993168 29292.23607485 28186.91822311 28849.93461736
 28439.97449549 28348.45969174 28723.73159461 28943.28675556
 27978.92546526 29323.53289612 28783.63419621 27223.62519945
 28906.08453016 28129.52577015 29293.17997027 29014.60465946
 28422.56977141 28812.04947789 27795.96317544 28147.84562725
 27174.12646486 29929.02980779 27185.74316283 28149.66458029
 27589.99000161 29237.89166563 28272.89032695 29329.70086789
 27639.62884169 28316.82739963 26649.32808594 28605.98894073
 28588.07989754 29037.07560448 28680.89611916 28566.98043597
 29350.7505696  28631.69751966 25852.89287044 26757.75221835
 27150.4515984  28832.28039988 25801.68312893 26540.74371683
 25489.80384007 24836.94379977 25680.93501289 25995.92606807
 25481.29877976 27037.10048315 23889.70816207 22835.06605087
 23022.91659641 22904.72903382 23494.4766754  21679.63961048
 21585.91542068 21942.60390159 23447.2977973  22561.38693829
 22913.40818232 19522.95474513 20938.67727563 20292.04421071
 22073.08378361 20930.06218578]",0.7901429196415644
11,classification_wordnet_2.csv,4330847.666698896,42459.29084998918,"[27093.00569215 28107.94531399 29615.2841461  29248.36814303
 28444.51791654 27930.2400035  26758.32613515 28657.43006328
 28703.58837298 29244.31163557 30443.36147083 27614.57420487
 26100.98928905 28427.21836559 26360.4021587  27579.84668578
 29286.04598656 26450.82116712 27252.13844657 28107.17401873
 26677.01716654 27281.67047298 29755.81474924 29171.38565298
 26932.78780044 28058.74077318 30132.01864004 28071.83113832
 29336.11188444 26237.23206425 27795.67574271 28795.05815534
 27557.47882884 26098.01325951 25896.52341596 26524.07440794
 27344.41540666 30690.34883653 28528.71602552 25641.34895329
 27084.35344347 27211.47561835 29150.08998781 26794.80434278
 27982.1272314  26716.71128829 26784.99718562 27752.62176146
 26011.57254545 26919.69075842 26860.11704209 28261.03841968
 29841.64211494 29007.15423247 27941.1030014  28100.55058631
 27970.47756947 24678.27067251 29001.91977588 28484.79959831
 30259.88884495 27960.59545034 26228.11616781 27209.44332546
 26243.41992184 27748.33780518 29057.88186231 28234.95589902
 28578.25574302 25582.41948059 29119.85562407 29377.31075519
 26765.8427655  27286.64955794 26159.35941997 25907.10419758
 25908.12831086 25316.98456752 27067.57094166 26400.30648567
 27464.32985189 26951.38632617 25380.60971486 25500.67970756
 25060.36658133 27239.9121087  22082.86094938 25033.60917552
 24910.45670188 24674.81148361 24985.8664968  24878.88896673
 24995.3082346  23232.68316982 23762.39828547 24094.27620301
 22928.75681268 25496.54744691 25861.32948161 24036.64874122
 26358.69564603 24483.23102085]",0.4099262464351604
12,data_regression_doc2vec_content_256_e50.csv,3550223.0916877203,34806.10874203647,"[29697.0216035  27226.64236168 28298.72354497 26315.27549205
 27800.95384199 24650.41923843 24530.44023021 26617.47891559
 28522.34933235 26750.35945446 25937.2846026  28579.64818345
 28894.23127635 27221.22489959 28471.90311727 26857.51636897
 29415.47282638 28817.26708555 28954.90931521 27750.84091119
 28790.30844025 29747.78612916 28253.54763131 29359.49961007
 24833.10711465 29267.56072264 28482.80607525 27295.83509058
 29497.98935254 27455.20461037 29868.87141172 29392.82330268
 28901.91601258 29212.41851913 27563.60069936 27453.62976327
 29406.2268141  28551.74460629 26101.54863861 28647.67406752
 27747.09350619 28758.35119145 25629.37966217 26438.51364078
 28866.08580987 29536.25392998 27023.55371459 28172.40963116
 27674.09903939 28458.76075639 29072.67193259 30002.31267097
 27512.19630034 26952.77815999 28869.59483362 27514.90478434
 28084.01234053 28407.24270247 26526.2645583  28331.02358888
 28248.64092334 26185.50207902 27302.71452803 29476.56049635
 27572.26858975 27791.45371559 23422.43594717 25909.77711588
 30055.1342185  26960.27631883 28437.53379259 27695.68873988
 30043.34909572 27490.99819117 27196.58051911 26096.22757871
 26509.88205435 26476.50546547 26199.21673646 26846.43813095
 25609.40947192 24975.16815198 27922.9129481  26641.4264627
 26396.44523455 27102.28736849 26026.05946317 25362.91688723
 23919.96753985 22742.83658713 24740.22132898 23936.38321881
 23609.89387855 23955.21376617 25144.62555726 22727.70864831
 24066.67266977 22814.5705864  24335.57844073 24980.98972977
 21233.82670144 23199.58715397]",0.5162855803465528
13,data_regression_sentence_transformer_title.csv,2224122.7264378923,21805.124768998943,"[27302.44103622 28642.18955231 27414.80663681 30346.89449692
 27759.83279037 28840.8005867  29007.8578186  28719.53967667
 29647.63800049 28015.94115067 27018.26070404 29932.20379257
 26674.28465271 28107.59759521 29470.62159729 29438.59013748
 28380.08598709 29794.49168777 28466.36954117 26838.89075851
 29433.50471497 29083.86941147 27586.91579056 26584.86361694
 28799.66430283 26828.67205429 28713.65227509 27870.28226852
 28496.29966354 28981.33303833 29106.24588776 28139.64944077
 24853.6904068  27996.3354187  28002.54450989 27928.79452896
 26754.73460007 27893.82104492 25805.94524765 28392.65681839
 27985.83894348 26211.51424789 27788.86424255 26597.15433884
 28017.54153824 28794.99992752 28003.26754379 28097.28215027
 29206.27383423 27875.21476746 29697.63510132 27976.93966675
 30086.61591721 29719.40261459 27358.52857208 28949.65412903
 27593.784729   26799.41611481 26589.66401672 27561.58741379
 26681.8694725  27935.85309982 27190.79133987 26983.07209396
 28214.72143173 28972.88845444 26333.80367661 28639.46474838
 28651.42082977 29486.69976807 29835.4786911  30617.53740692
 30573.30696869 28905.18022156 25329.13792038 27485.86156845
 26779.16805267 27539.05142593 26332.91212082 26422.05932999
 25803.30004883 26343.63053513 26750.26744461 23808.75105286
 25476.66107178 25838.08413315 24027.79330063 23218.21401978
 23183.41872406 23976.76965332 23414.29578781 22167.67928314
 21818.96559906 22477.82479477 23896.04345322 21778.84447479
 22991.50284195 22444.41349411 22781.10831833 21168.43260193
 21126.54055405 24946.63666534]",0.6969654565157171
14,data_regression_title_200d.csv,3663052.6849406036,35912.28122490788,"[26874.18104741 28220.70273919 27117.95144431 28170.12200741
 28465.6218535  27336.27394664 26424.8205533  28234.56429393
 26401.81806634 27324.00337561 27466.72048955 31267.96883498
 28145.59624818 28413.69140794 29581.36141377 28756.39487811
 28161.96377416 29847.45670396 27954.64530124 28685.27700728
 28081.94304427 28641.14700547 26058.27012071 27847.91222186
 24866.8192148  29385.3425074  28371.81960982 28647.02207568
 27770.1491749  26333.17913428 28528.95304446 26912.62656446
 27868.92728592 28868.73402763 27175.48517898 27360.69802437
 26967.11522929 26804.96271231 28175.60629209 27027.86952674
 27187.28979293 26660.90987078 27067.39211393 27935.60371777
 28755.17333586 28996.02272421 28932.98754467 27826.52952681
 28534.83161305 28068.34792705 29814.04758813 28464.90947525
 30126.35863988 29441.40217399 29299.47813274 28095.90461526
 27447.38850202 25510.40803976 26282.13351939 27827.19494153
 29677.85039522 27151.45217103 29526.87852164 26139.70101568
 28364.66798845 28220.39222393 27101.04344306 28175.16304139
 27264.94026428 26682.09205764 29465.91252142 27736.65622002
 29152.89476716 26895.33236608 24103.40938739 27514.05183534
 26109.49455486 25750.31801207 25409.42304276 26637.75647236
 25163.90722245 27837.28018368 27568.96424823 27090.44594363
 26006.63504579 25687.33631488 24537.93116904 24634.03416844
 24617.35582067 24602.23682621 25211.86704095 23528.01747682
 24079.57350999 23563.19447996 26721.67677715 25238.37393338
 20935.68749157 23827.19276754 23815.24260171 20612.74249383
 21512.83145424 25641.46155081]",0.5009126587552768
